Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
TREASURE AT TAMPINES,"1,161,000",914.94,"1,269",01-Sep-20,53 TAMPINES LANE #02-183,New Sale,Strata,85,"13,659",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528459,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,175,000",839.59,"1,399",01-Sep-20,55 TAMPINES LANE #10-190,New Sale,Strata,78,"15,064",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528458,18,52,East Region,Tampines
ONE PEARL BANK,"2,578,000","1,151.75","2,238",01-Sep-20,1 PEARL BANK #09-12,New Sale,Strata,107,"24,093",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,N.A,169016,3,16,Central Region,Outram
ONE PEARL BANK,"2,609,000","1,151.75","2,265",01-Sep-20,1 PEARL BANK #11-12,New Sale,Strata,107,"24,383",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,N.A,169016,3,16,Central Region,Outram
PARC KOMO,"2,039,000","1,410.08","1,446",01-Sep-20,957 UPPER CHANGI ROAD NORTH #05-58,New Sale,Strata,131,"15,565",-,Apartment,1,Freehold,Uncompleted,HDB,506786,17,50,East Region,Pasir Ris
PARC CANBERRA,"1,019,000",947.23,"1,076",01-Sep-20,15 CANBERRA WALK #04-29,New Sale,Strata,88,"11,580",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,Private,756948,27,75,North Region,Sembawang
DAIRY FARM RESIDENCES,"1,874,009","1,323.97","1,415",01-Sep-20,12 DAIRY FARM LANE #03-36,New Sale,Strata,123,"15,236",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677615,23,67,West Region,Bukit Panjang
FORETT AT BUKIT TIMAH,"1,444,000",721.19,"2,002",01-Sep-20,32B TOH TUCK ROAD #07-13,New Sale,Strata,67,"21,552",-,Apartment,1,Freehold,Uncompleted,N.A,596111,21,59,Central Region,Bukit Timah
KOPAR AT NEWTON,"2,106,000",914.94,"2,302",01-Sep-20,8 MAKEWAY AVENUE #09-16,New Sale,Strata,85,"24,776",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,9,22,Central Region,Novena
NOMA,"1,030,000",656.6,"1,569",01-Sep-20,331 GUILLEMARD ROAD #04-01,New Sale,Strata,61,"16,885",-,Apartment,1,Freehold,Uncompleted,Private,399756,14,39,Central Region,Geylang
LE NOUVEL ARDMORE,"16,239,250","3,821.22","4,250",01-Sep-20,1A ARDMORE PARK #28-02,Resale,Strata,355,"45,744",-,Condominium,1,Freehold,2014,Private,259945,10,25,Central Region,Newton
THE PANORAMA,"1,460,000","1,011.82","1,443",01-Sep-20,8 ANG MO KIO AVENUE 2 #03-05,Resale,Strata,94,"15,532",-,Condominium,1,99 yrs from 08/04/2013,2017,Private,567695,20,56,North East Region,Ang Mo Kio
WESTMERE,"1,018,000","1,313.21",775,01-Sep-20,71 JURONG EAST STREET 13 #04-05,Resale,Strata,122,"8,344",-,Executive Condominium,1,99 yrs from 26/06/1996,1999,HDB,609650,22,60,West Region,Jurong East
